,id_,trader_id,product_id,quantity,supplier_id,payment_id,date_of_order
0,127391,2873978,262,19,468,4,2022-12-02
1,127130,2544502,271,38,453,3,2022-09-05
2,132691,2941440,269,52,475,5,2022-12-24
3,120419,2798823,285,19,457,6,2022-11-16
4,139601,2969660,281,45,463,3,2022-12-21
5,136166,2703748,251,18,462,1,2023-12-24
6,133019,2695430,278,41,457,4,2023-09-29
7,136036,2550963,283,58,452,6,2023-12-04
8,123572,2564664,277,30,467,5,2023-01-22
9,122120,2748962,261,64,472,4,2022-07-01
10,130529,2702716,277,41,452,2,2022-09-17
11,120212,2538168,264,41,461,2,2022-07-18
12,131223,2540055,261,46,467,2,2023-09-24
13,136284,2756116,252,11,475,4,2023-05-04
14,121705,2566326,276,16,461,3,2023-03-18
15,126790,2771309,277,38,469,6,2024-03-12
16,133812,2516081,261,20,464,6,2023-09-10
17,123412,2761055,278,15,467,2,2023-01-28
18,124681,2906152,257,56,455,2,2023-06-18
19,131597,2580328,266,18,450,2,2022-11-14
20,120618,2674132,275,54,451,2,2023-02-21
21,126838,2932405,257,35,465,3,2023-07-13
22,137290,2910110,269,22,468,6,2022-11-15
23,132716,2794287,252,28,450,5,2024-04-04
24,139140,2773438,262,59,465,4,2023-07-16
25,126928,2581397,263,29,462,3,2024-04-13
26,139844,2755714,277,41,472,4,2022-11-24
27,129099,2658289,251,28,473,2,2024-01-11
28,135583,2891432,269,45,469,5,2022-12-15
29,127552,2593319,291,69,472,4,2023-08-30
30,134190,2554675,263,2,466,5,2022-11-09
31,133153,2511200,240,57,450,3,2023-06-04
32,121653,2755212,255,52,469,1,2023-03-06
33,131590,2828583,269,65,454,6,2022-09-10
34,124564,2680679,266,42,470,2,2024-04-05
35,126537,2623540,277,16,470,3,2024-05-01
36,137295,2791204,285,41,472,2,2023-08-03
37,136735,2747653,240,40,465,5,2024-06-12
38,135992,2857774,244,12,470,3,2023-08-05
39,134261,2693731,276,41,453,6,2022-10-03
40,128885,2637430,283,67,465,1,2023-05-03
41,122484,2777887,277,68,464,5,2023-02-06
42,138831,2897955,285,53,468,6,2024-01-03
43,127969,2962938,286,20,467,3,2023-08-16
44,123980,2592354,244,23,473,4,2022-07-05
45,136352,2627800,251,24,458,5,2024-05-28
46,123101,2751901,250,37,456,4,2023-05-18
47,123949,2762169,252,4,466,3,2023-10-06
48,134679,2990137,265,16,463,1,2023-03-31
49,120318,2597069,285,61,470,5,2023-08-02
50,130970,2881084,261,70,455,4,2023-05-06
51,137191,2530579,285,40,470,2,2024-04-07
52,129337,2901207,251,56,475,3,2023-06-26
53,133752,2669680,286,29,473,6,2023-07-03
54,121957,2591054,263,12,469,6,2023-10-27
55,138896,2536887,244,42,461,4,2022-07-09
56,136490,2770095,279,59,470,4,2022-07-19
57,129495,2528491,277,58,463,6,2024-01-16
58,126724,2871614,255,45,450,6,2023-08-06
59,125987,2838130,255,60,473,3,2022-07-17
60,137884,2846035,277,53,466,1,2022-11-13
61,123886,2683247,244,53,453,5,2024-01-21
62,124639,2786101,276,51,462,5,2023-02-21
63,120837,2553404,248,29,453,4,2022-10-30
64,133003,2986934,250,67,470,6,2023-02-28
65,127769,2841665,240,17,460,1,2024-02-03
66,139012,2735136,257,37,464,5,2024-02-06
67,134930,2917120,248,50,459,3,2023-09-02
68,132058,2622486,280,11,460,4,2022-11-28
69,130713,2596495,281,3,466,5,2023-03-13
70,133293,2958822,278,31,460,3,2024-01-09
71,126594,2948922,256,59,451,3,2024-02-04
72,120953,2954442,244,2,470,2,2023-07-18
73,126727,2942304,250,68,455,1,2024-02-17
74,136375,2998930,275,66,467,3,2023-07-28
75,126830,2567784,266,63,460,4,2023-05-15
76,133617,2891080,271,43,460,5,2022-08-26
77,125738,2581681,240,62,468,2,2022-09-18
78,133268,2918305,262,20,451,5,2023-11-10
79,135154,2619656,250,33,471,1,2023-05-14
80,133577,2817804,263,41,452,3,2024-04-04
81,125682,2668364,250,17,460,1,2023-06-15
82,131726,2915637,248,19,452,2,2023-11-08
83,123449,2648925,244,32,452,3,2023-12-03
84,134440,2575420,262,38,463,3,2024-02-20
85,139746,2972358,278,28,458,4,2022-08-24
86,129426,2657443,281,34,465,2,2023-06-03
87,129269,2533852,272,41,463,3,2022-10-26
88,126426,2591221,264,24,458,3,2023-07-20
89,136598,2565507,257,62,472,4,2022-10-26
90,138152,2529672,262,19,475,1,2022-10-27
91,127795,2570433,262,47,471,5,2022-09-15
